,Text,Type,Mesh
1967,Motor and sensory impairment,Disease,D015417
1968,Penicillamine,Chemical,D010396
1969,Chloroquine,Chemical,D002738
1970,Cephalothin,Chemical,D002512
1971,Cephalothin sodium,Chemical,D002512
1972,S-limonene,Chemical,C008281
1973,S-perillyl alcohol,Chemical,C032208
1974,Memory impaired,Disease,D008569
1975,Deficit of associative memory,Disease,D008569
1976,Ro4368554,Chemical,C507242
1977,Memory deficiency,Disease,D008569
1978,3-benzenesulfonyl-7-(4-methyl-piperazin-1-yl)1h-indole,Chemical,C507242
1979,Trp,Chemical,D014364
1980,Metrifonate,Chemical,D014236
1981,Memory deficit,Disease,D008569
1982,Heart disease,Disease,D006331
1983,Thyroid disorders,Disease,D013959
1984,Acute alcohol intoxication,Disease,D000435
1985,Dfu,Chemical,C106876
1986,Piroxicam,Chemical,D010894
1987,"5,5-dimethyl-3-(3-fluorophenyl)-4-(4-methylsulphonyl) phenyl-2(5h)-furanon",Chemical,C106876
1988,Intrauterine growth retardation,Disease,D005317
1989,Increase of external and skeletal variations,Disease,D009139
1990,Drug dependence,Disease,D019966
1991,Allopregnanolone,Chemical,D011280
1992,3alpha-hydroxy-5alpha-pregnan-20-one,Chemical,D011280
1993,Pregnanolone,Chemical,D011280
1994,3alpha-hydroxy-5beta-pregnan-20-one,Chemical,D011280
1995,Ganaxolone,Chemical,C105051
1996,3alpha-hydroxy-3beta-methyl-5alpha-pregnan-20-one,Chemical,C105051
1997,Cyclosporine a,Chemical,D016572
1998,Csa,Chemical,D016572
1999,Fucoidan,Chemical,C007789
2000,Brain damage,Disease,D001925
2001,Ischemic stroke,Disease,D002544
2002,Inflammation,Disease,D007249
2003,Impaired blood clotting,Disease,D020141
2004,Hemodilution,Disease,D020141
2005,Hematomas,Disease,D006406
2006,White matter edema,Disease,D001929
2007,Neuronal loss,Disease,D009410
2008,Hepatocellular injury,Disease,D056486
2009,Haemodilution,Disease,D020141
2010,Aceto-acetate,Chemical,C016635
2011,3-hydroxybutyrate,Chemical,D020155
2012,Impairment of hepatic function,Disease,D008107
2013,Dyskinetic movements,Disease,D004409
2014,Spontaneous recurrent seizures,Disease,Unknown
2015,Srs,Disease,Unknown
2016,Salvianolic acid a,Chemical,C066201
2017,Malondialdehyde,Chemical,D008315
2018,Respiratory dysfunction,Disease,D012131
2019,N-(2-propylpentanoyl)urea,Chemical,C108761
2020,Amino acid,Chemical,D000596
2021,Vpu,Chemical,C108761
2022,Telithromycin,Chemical,C106791
2023,Upper respiratory tract infection,Disease,D012141
2024,Adverse drug reaction,Disease,D064420
2025,Spironolactone,Chemical,D013148
2026,Cr,Chemical,D002857
2027,Thiazide,Chemical,D049971
2028,Crf,Disease,D007676
2029,Hepatorenal syndrome,Disease,D006530
2030,Nimodipine,Chemical,D009553
2031,Acute stroke,Disease,D020521
2032,Reduction in blood pressure,Disease,D007022
2033,Bp reduction,Disease,D007022
2034,Reduction in systolic bp,Disease,D007022
2035,Dbp reduction,Disease,D007022
2036,Transient neurologic symptoms,Disease,D009422
2037,Tnss,Disease,D009422
2038,Glucose,Chemical,D005947
2039,Carbon monoxide,Chemical,D002248
2040,Sinus arrest,Disease,D054138
2041,Cardiac disease,Disease,D006331
2042,Arrhythmias,Disease,D001145
2043,Gall bladder stones,Disease,D042882
2044,Gall stones,Disease,D042882
2045,Udca,Chemical,D014580
2046,Gall stone,Disease,D042882
2047,Gall stone disease,Disease,D042882
2048,Cardiovascular complications,Disease,D002318
2049,2-chloroprocaine-ce,Chemical,C004616
2050,Subpial necrosis,Disease,D013118
2051,Bladder tumors,Disease,D001749
2052,Sulindac,Chemical,D013467
2053,Ventricular tachyarrhythmias,Disease,D014693
2054,Ritodrine,Chemical,D012312
2055,Prolactinomas,Disease,D015175
2056,Prolactinoma,Disease,D015175
2057,Adenoma,Disease,D000236
2058,Liver enlargement,Disease,D006529
2059,Muscle wastage,Disease,D009133
2060,Cardiorespiratory arrest,Disease,D006323
2061,Midazolam hydrochloride,Chemical,D008874
2062,Levodopa/carbidopa,Chemical,C009265
2063,Carbidopa/levodopa,Chemical,C009265
2064,Hallucinosis,Disease,D001523
2065,Vitamin b6,Chemical,D025101
2066,L-alpha-glyceryl-phosphorylcholine,Chemical,D005997
2067,L-alpha-glycerylphosphorylcholine,Chemical,D005997
2068,L-alpha-gfc,Chemical,D005997
2069,Impairment of attention and memory,Disease,D008569
2070,Benzoylecgonine,Chemical,C005618
2071,Be,Chemical,C005618
2072,Ly274614,Chemical,C070935
2073,"3sr,4ars,6sr,8ars-6-[phosphonomethyl]decahydr oisoquinoline-3- carboxylic acid",Chemical,C070935
2074,Iprindole,Chemical,D007488
2075,Dizocilpine,Chemical,D016291
2076,Clonic fits,Disease,D012640
2077,Fits,Disease,D012640
2078,Cacl2,Chemical,D002122
2079,Thoracic aortic aneurysm,Disease,D017545
2080,Taa,Disease,D017545
2081,Cacl(2),Chemical,D002122
2082,Arterial injury,Disease,D014652
2083,Nacl,Chemical,D012965
2084,Right heart failure,Disease,D006333
2085,Catecholamine,Chemical,D002395
2086,Pac,Chemical,D017239
2087,Glutamine,Chemical,D018698
2088,Salt,Chemical,D017673
2089,H,Chemical,D006859
2090,Ribonucleic acid,Chemical,D012313
2091,Hyperprolactinemic,Disease,D006966
2092,Hyperprolactinemia,Disease,D006966
2093,Cholesteryl ester,Chemical,D002788
2094,Ritonavir,Chemical,D019438
2095,Premature atherosclerosis,Disease,D050197
2096,Atherosclerotic lesion,Disease,D050197
2097,E2,Chemical,D004958
2098,Progesterone,Chemical,D011374
2099,Cholesteryl esters,Chemical,D002788
2100,Phenobarbital,Chemical,D010634
2101,Tariquidar,Chemical,C402343
2102,Injury to the brain,Disease,D001927
2103,Mitochondrial abnormalities,Disease,D028361
2104,Antiphospholipid syndrome,Disease,D016736
2105,Systemic lupus erythematosus,Disease,D008180
2106,Left ventricular systolic and diastolic dysfunction,Disease,D018487
2107,Myocardial dysfunction,Disease,D009202
2108,Myocardial stunning,Disease,D017682
2109,Myocardial necrosis,Disease,D009202
2110,Urinary bladder cancer,Disease,D001749
2111,Wegener's granulomatosis,Disease,D014890
2112,Bladder cancer,Disease,D001749
2113,L-arginine,Chemical,D001120
2114,Hydrocortisone acetate,Chemical,C021650
2115,[3h]-l-arginine,Chemical,D001120
2116,Increases in blood pressure,Disease,D006973
2117,Neurologic complications,Disease,D009422
2118,White matter abnormalities,Disease,D056784
2119,Putaminal hemorrhage,Disease,D020146
2120,Cortical laminar necrosis,Disease,D001927
2121,Hypoxemia,Disease,D000860
2122,Pulmonary hypertension,Disease,D006976
2123,Fistula,Disease,D005402
2124,Necrotizing enterocolitis,Disease,D020345
2125,Exencephaly,Disease,D009436
2126,Exencephalic,Disease,D009436
2127,Hemorrhaging,Disease,D006470
2128,Circulatory failure,Disease,D012769
2129,Maha,Disease,D000743
2130,Cya,Chemical,D016572
2131,Amantadine,Chemical,D000547
2132,Amines,Chemical,D000588
2133,Amantadine hydrochloride,Chemical,D000547
2134,Suppression of motility,Disease,D011596
2135,Normetanephrine,Chemical,D009647
2136,Behavioral depression,Disease,D011596
2137,Hepatocellular carcinomas,Disease,D006528
2138,Hepatocellular carcinoma,Disease,D006528
2139,Methylergonovine,Chemical,D008755
2140,Variant angina,Disease,D000788
2141,Angina pectoris,Disease,D000787
2142,Coronary spasm,Disease,D003329
2143,Cardiac damage,Disease,D006331
2144,Aminophylline,Chemical,D000628
2145,Respiratory failure,Disease,D012131
2146,Cardiac arrhythmias,Disease,D001145
2147,Cardiac disturbances,Disease,D006331
2148,Co2,Chemical,D002245
2149,Hypoventilation,Disease,D007040
2150,Ventricular arrhythmias,Disease,D001145
2151,Carbamylcholin,Chemical,D002217
2152,Asystole,Disease,D006323
2153,Hyperhidrosis,Disease,D006945
2154,Hypersalivation,Disease,D012798
2155,Bronchorrhoea,Disease,Unknown
2156,Miosis,Disease,D015877
2157,Atrio-ventricular dissociation,Disease,D006327
2158,Dyspnoea,Disease,D004417
2159,Bronchospasm,Disease,D001986
2160,Respiratory insufficiency,Disease,D012131
2161,Proteus mirabilis infection,Disease,D011512
2162,Acute cardiovascular failure,Disease,D002318
2163,Rizatriptan,Chemical,C093622
2164,Ergotamine,Chemical,D004878
2165,Phonophobia,Disease,D012001
2166,Photophobia,Disease,D020795
2167,Bleomycin,Chemical,D001761
2168,Vinca alkaloid,Chemical,D014748
2169,Thrombotic thrombocytopenic purpura,Disease,D011697
2170,Hemolytic-uremic syndrome,Disease,D006463
2171,Nelarabine,Chemical,C104457
2172,Arag,Chemical,C104457
2173,Vp,Chemical,D005047
2174,Cpm,Chemical,D003520
2175,Musculoskeletal pain,Disease,D059352
2176,Haematological toxicity,Disease,D006402
2177,Neurological toxicity,Disease,D009422
2178,Dermatitis,Disease,D003872
2179,Fever,Disease,D005334
2180,Lymphadenopathy,Disease,D008206
2181,Lymphadenitis,Disease,D008199
2182,Multi-organ failure,Disease,D009102
2183,Massive hepatocellular necrosis,Disease,D047508
2184,Nephritis,Disease,D009393
2185,Bone marrow necrosis,Disease,D001855
2186,Bupropion,Chemical,D016642
2187,Zyban,Chemical,D016642
2188,Bupropion hydrochloride,Chemical,D016642
2189,Indocyanine green,Chemical,D007208
2190,Exanthema,Disease,D005076
2191,Urtication,Disease,D014581
2192,Itchiness,Disease,D011537
2193,Fluorescein sodium,Chemical,D019793
2194,Diabetic neuropathy,Disease,D003929
2195,Hoe 140,Chemical,C065679
2196,Des arg10 hoe 140,Chemical,C078665
2197,Diabetic hyperalgesia,Disease,D006930
2198,Des-arg10hoe 140,Chemical,C078665
2199,Toxic neuropathy,Disease,D010523
2200,Melphalan,Chemical,D008558
2201,Thiotepa,Chemical,D013852
2202,Chf,Disease,D006333
2203,Myoclonic jerks,Disease,D009207
2204,Lamotrigine,Chemical,C047781
2205,Ethosuximide,Chemical,D005013
2206,Omeprazole,Chemical,D009853
2207,Peptic ulcer disease,Disease,D010437
2208,Reflux esophagitis,Disease,D005764
2209,Zollinger-ellison syndrome,Disease,D015043
2210,Lethargy,Disease,D053609
2211,Shortness of breath,Disease,D004417
2212,Didanosine,Chemical,D016049
2213,Ddi,Chemical,D016049
2214,Hiv antibody-positive,Disease,D015658
2215,Opportunistic infections,Disease,D009894
2216,Diarrhoea,Disease,D003967
2217,Glucose tolerance curves,Disease,D018149
2218,Sunitinib,Chemical,C473478
2219,Sorafenib,Chemical,C471405
2220,Chronically infected with hepatitis c virus,Disease,D019698
2221,Pegylated interferon alpha 2a,Chemical,C100416
2222,Hepatitis c,Disease,D019698
2223,Topiramate,Chemical,C052342
2224,Cocaine addiction,Disease,D019970
2225,3 alpha-tropyl 2-(p-bromophenyl)propionate,Chemical,C087567
2226,Dicyclomine,Chemical,D004025
2227,Hemicholinium-3,Chemical,D006426
2228,Gamma-aminobutyric acidb,Chemical,D005680
2229,3-aminopropyl-diethoxy-methyl-phosphinic acid,Chemical,C066430
2230,R-(alpha)-methylhistamine,Chemical,C069357
2231,5-hydroxytryptamine4,Chemical,D012701
2232,2-methoxy-4-amino-5-chlorobenzoic acid 2-(diethylamino)ethyl ester,Chemical,C072790
2233,5-hydroxytryptamin1a,Chemical,D012701
2234,1-(2-methoxyphenyl)-4-[4-(2-phthalimido)butyl]piperazine,Chemical,C058895
2235,Amnesic,Disease,D000647
2236,Prostaglandin f2 alpha,Chemical,D015237
2237,Hematuria,Disease,D006417
2238,P-choloroaniline,Chemical,C004658
2239,Chlorhexidine-digluconate,Chemical,C010882
2240,Colistin,Chemical,D003091
2241,Povidone-iodine,Chemical,D011206
2242,Picloxydine,Chemical,C005253
2243,Bromperidol,Chemical,C006820
2244,Extrapyramidal concomitant symptoms,Disease,D001480
2245,Psychotic syndromes belonging predominantly to the schizophrenia group,Disease,D019967
2246,Curcumin,Chemical,D003474
2247,Cognitive dysfunction,Disease,D003072
2248,Cognitive impairment,Disease,D003072
2249,Impairment of learning and memory,Disease,D003072
2250,Deterioration of cognitive functions,Disease,D003072
2251,Pyrrolidine dithiocarbamate,Chemical,C020972
2252,Pdtc,Chemical,C020972
2253,Neuronal damage,Disease,D009410
2254,Hiccups,Disease,D006606
2255,Lids,Disease,D004409
2256,Pericarditis,Disease,D010493
2257,Graves' disease,Disease,D006111
2258,Febrile illness,Disease,D005334
2259,Propylthio- uracil,Chemical,D011441
2260,Beta-carboline,Chemical,C036150
2261,Methyl beta-carboline-3-carboxylate,Chemical,C036150
2262,Beta-ccm,Chemical,C036150
2263,Benzodiazepine,Chemical,D001569
2264,Low sexual desire,Disease,D020018
2265,Gynecomastia,Disease,D006177
2266,Testosterone heptylate,Chemical,C004648
2267,Hypogonadism,Disease,D007006
2268,Hypothalamic dysfunction,Disease,D007027
2269,Thiopentone,Chemical,D013874
2270,Glycopyrrolate,Chemical,D006024
2271,Sodium acetylsalicylate,Chemical,Unknown
2272,Pentylenetetrezol,Chemical,D010433
2273,Flestolol,Chemical,C047847
2274,Acc-9089,Chemical,C047847
2275,Supraventricular tachyarrhythmia,Disease,D013617
2276,Unstable angina,Disease,D000789
2277,Nitrendipine,Chemical,D009568
2278,Nephrosclerosis,Disease,D009400
2279,Tinnitus,Disease,D014012
2280,Idiopathic subjective tinnitus,Disease,D014012
2281,Ist,Disease,D014012
2282,Vertigo,Disease,D014717
2283,Perhexiline maleate,Chemical,C023470
2284,Demyelinating disorder,Disease,D003711
2285,Methscopolamine,Chemical,D019832
2286,Alpha-methyltyrosine,Chemical,D019805
2287,P-chlorophenylalamine,Chemical,D010134
2288,Fk 506,Chemical,D016559
2289,Fr 139317,Chemical,C079574
2290,Organophosphorus (op) poisons,Chemical,D009943
2291,Op compound,Chemical,D009943
2292,Selective serotonin reuptake inhibitor,Chemical,D017367
2293,Sd,Disease,D012735
2294,Ssri,Chemical,D017367
2295,Hepatitis-b surface antigen,Chemical,D006514
2296,Hepatic complication,Disease,D008107
2297,Hematological malignancies,Disease,D019337
2298,Hbv infection,Disease,D006509
2299,Lamivudin,Chemical,D019259
2300,Nucleoside,Chemical,D009705
2301,Ginsenoside rg1,Chemical,C035054
2302,Impairment of learning,Disease,D007859
2303,Rg1,Chemical,C035054
2304,Ginsenoside,Chemical,D036145
2305,Learning impairment,Disease,D007859
2306,Bruising,Disease,D003288
2307,Orofacial dyskinesia,Disease,D004409
2308,Td,Disease,D004409
2309,Orofacial diskinesia,Disease,D004409
2310,Acute psychosis,Disease,D011605
2311,Psychosis,Disease,D011605
2312,Trigeminal neuralgia,Disease,D014277
2313,Psychotic symptoms,Disease,D011605
2314,Gum arabic,Chemical,D006170
2315,Gm,Chemical,D005839
2316,Tubular necrosis,Disease,D007683
2317,Visual hallucinations,Disease,D006212
2318,Zonisamide,Chemical,C022189
2319,Glomerular injury,Disease,D007674
2320,Cycloheximide,Chemical,D003513
2321,Dopamine agonist,Chemical,D018491
2322,Dopac,Chemical,D015102
2323,Da,Chemical,D018491
2324,Hva,Chemical,D006719
2325,Tricuspid valve regurgitation,Disease,D014262
2326,Tricuspid regurgitation,Disease,D014262
2327,Congenital heart disease,Disease,D006331
2328,Neurologic depression,Disease,D003866
2329,Neurologically-impaired,Disease,D009422
2330,Neurologic impairment,Disease,D009422
2331,Movement disorders,Disease,D009069
2332,Ammonia,Chemical,D000641
2333,Nh3,Chemical,D000641
2334,Hydroxyproline,Chemical,D006909
2335,Hypertrophic,Disease,D006984
2336,Hyperplasia,Disease,D006965
2337,Carcinogenic,Disease,D063646
2338,Retinyl acetate,Chemical,C009166
2339,Forestomach carcinogenesis,Disease,D013274
2340,Butylated hydroxyanisole,Chemical,D002083
2341,Ra,Chemical,C009166
2342,Bha,Chemical,D002083
2343,Forestomach tumorigenesis,Disease,D013274
2344,Squamous cell papilloma,Disease,D010212
2345,Epithelial hyperplasia,Disease,D017573
2346,Papillomas,Disease,D010212
2347,Ketanserin,Chemical,D007650
2348,Muscle rigidity,Disease,D009127
2349,Chlordiazepoxide,Chemical,D002707
2350,Glycopyrronium,Chemical,D006024
2351,Edrophonium,Chemical,D004491
2352,Bradycardias,Disease,D001919
2353,Cerebral sinus thrombosis,Disease,D012851
2354,Menorrhagia,Disease,D008595
2355,Epsilon-aminocaproic acid,Chemical,D015119
2356,Blood loss,Disease,D006473
2357,Thromboembolic disease,Disease,D013923
2358,Meperidine,Chemical,D008614
2359,Adenomas,Disease,D000236
2360,Focal nodular hyperplasia,Disease,D020518
2361,Thromboembolism,Disease,D013923
2362,Arterial occlusion,Disease,D001157
2363,Ischemic,Disease,D007511
2364,Sodium warfarin,Chemical,D014859
2365,Acute liver injury,Disease,D056486
2366,Psychotic disorders,Disease,D011605
2367,Paranoid type schizophrenia,Disease,D012563
2368,Bupropion hcl,Chemical,D016642
2369,Epileptiform activity,Disease,D004827
2370,Penicillin-g potassium,Chemical,D010400
2371,Epilepsies,Disease,D004827
2372,Dexmedetomidine,Chemical,D020927
2373,Aggressiveness,Disease,D001523
2374,Aggressive behaviors,Disease,D001523
2375,Idiopathic generalized epilepsies,Disease,C562694
2376,Ige,Disease,C562694
2377,Ltg,Chemical,C047781
2378,Mj,Disease,D009207
2379,Myoclonic status,Disease,D009207
2380,Parkinson disease,Disease,D010300
2381,Dyskinetic,Disease,D004409
2382,Drug-induced dyskinesias,Disease,D004409
2383,Inability to repeat words,Disease,D000647
2384,Retrograde amnesia,Disease,D000648
2385,Rubella,Disease,D012409
2386,Hepatitis b surface antigen,Chemical,D006514
2387,Glomerular and late-onset tubular lesions,Disease,D007674
2388,Mitochondrial injury,Disease,D028361
2389,Glomerular and tubular injury,Disease,D007674
2390,Glomerular and tubular lesions,Disease,D007674
2391,Tubular lesions,Disease,D007674
2392,Glomerular lesions,Disease,D007674
2393,Renal lesions,Disease,D007674
2394,Grand mal seizures,Disease,D004830
2395,Hydroxyzine,Chemical,D006919
2396,Promethazine,Chemical,D011398
2397,Lorazepam,Chemical,D008140
2398,Amphotercin b,Chemical,D000666
2399,Cryptococcal meningitis,Disease,D016919
2400,Alcohol abuse,Disease,D000437
2401,Tobramicyn,Chemical,D014031
2402,Decreased auditory function,Disease,D034381
2403,Auditory loss,Disease,D034381
2404,Sm-5887,Chemical,C055866
2405,Parkinsonism,Disease,D010300
2406,Bradykinesia,Disease,D018476
2407,Tle,Disease,D004833
2408,Pilo,Chemical,D010862
2409,Brain damage,Disease,D001930
2410,Elevated intraocular pressure,Disease,D009798
2411,Corticosteroid,Chemical,D000305
2412,Iop rise,Disease,D009798
2413,Oedema,Disease,D004487
2414,Tonic-clonic seizure,Disease,D012640
2415,Iopentol,Chemical,C053571
2416,Iohexol,Chemical,D007472
2417,Metrizoate,Chemical,D008794
2418,Venous thrombosis,Disease,D020246
2419,Deep venous thrombosis,Disease,D020246
2420,Coronary stenosis,Disease,D023921
2421,Coronary stenoses,Disease,D023921
2422,Hyperemic,Disease,D006940
2423,Renal function significantly deteriorated,Disease,D058186
2424,Liver tumors,Disease,D008113
2425,Hamartoma,Disease,D006222
2426,Hepatoma,Disease,D006528
2427,Rupture,Disease,D012421
2428,Graft-versus-host disease,Disease,D006086
2429,Sinusoidal obstruction syndrome,Disease,D006504
2430,Microangiopathy,Disease,D014652
2431,Gvhd,Disease,D006086
2432,Myelodysplastic syndrome,Disease,D009190
2433,Mds,Disease,D009190
2434,Acute myeloid leukemia,Disease,D015470
2435,Aml,Disease,D015470
2436,Transplantation-associated microangiopathy,Disease,D014652
2437,Tma,Disease,D014652
2438,Sos,Disease,D006504
2439,Loreclezole,Chemical,C066440
2440,Clonazepam,Chemical,D002998
2441,N-methyl-d-aspartic acid,Chemical,D016202
2442,Bay k-8644,Chemical,D001498
2443,Drug-induced acute liver injury,Disease,D056486
2444,Acute liver insult,Disease,D017114
2445,Menstrual disorders,Disease,D008599
2446,Oestrogens,Chemical,D004967
2447,Progestogens,Chemical,D011374
2448,Venous thrombo-embolism,Disease,D054556
2449,Oestrogen,Chemical,D004967
2450,Colon cancer,Disease,D003110
2451,Gliomas,Disease,D005910
2452,Brain edema,Disease,D001929
2453,Elevated icp,Disease,D019586
2454,Brain tumor,Disease,D001932
2455,Malignant glioma,Disease,D005910
2456,Metastases,Disease,D009362
